"id";"Liga";"Data";"Home";"Away";"golHome";"golAway";"totalGols";"resultado";"golHomeHT";"golawayHT";"resultadoHT";"escanteioHome";"escanteioAway";"totalCantos";"cardAmareloHome";"cardAmareloAway";"cardRedHome";"cardRedAway";"totalgolHT";"total_cartao"
"265435";"Premier League";"2023-12-06";"Fulham";"Nott'm Forest";"5";"0";"5";"H";"2";"0";"H";"6";"1";"7";"0";"1";"0";"0";"2";"1"
"265436";"Premier League";"2023-12-06";"Sheffield United";"Liverpool";"0";"2";"2";"A";"0";"1";"A";"2";"12";"14";"2";"3";"0";"0";"1";"5"
"265437";"Premier League";"2023-12-06";"Aston Villa";"Man City";"1";"0";"1";"H";"0";"0";"D";"6";"0";"6";"2";"2";"0";"0";"0";"4"
"265438";"Premier League";"2023-12-06";"Man United";"Chelsea";"2";"1";"3";"H";"1";"1";"D";"12";"4";"16";"4";"0";"0";"0";"2";"4"
"265439";"Ligue 1";"2023-12-06";"Marseille";"Lyon";"3";"0";"3";"H";"2";"0";"H";"10";"3";"13";"1";"2";"0";"0";"2";"3"
"265440";"Premier League";"2023-12-05";"Wolves";"Burnley";"1";"0";"1";"H";"1";"0";"H";"6";"8";"14";"2";"4";"0";"0";"1";"6"
"265441";"Premier League";"2023-12-05";"Luton";"Arsenal";"3";"4";"7";"A";"1";"2";"A";"3";"8";"11";"2";"1";"0";"0";"3";"3"
"265442";"Serie A";"2023-12-04";"Torino";"Atalanta";"3";"0";"3";"H";"1";"0";"H";"4";"3";"7";"2";"2";"0";"0";"1";"4"
"265443";"Liga Portugal";"2023-12-04";"Sp Lisbon";"Gil Vicente";"3";"1";"4";"H";"1";"1";"D";"9";"0";"9";"4";"1";"0";"0";"2";"5"
"265444";"LaLiga";"2023-12-04";"Celta";"Cadiz";"1";"1";"2";"D";"0";"1";"A";"12";"1";"13";"1";"6";"0";"1";"1";"8"
"265445";"BundesLiga";"2023-12-03";"Mainz";"Freiburg";"0";"1";"1";"A";"0";"0";"D";"14";"3";"17";"1";"1";"0";"0";"0";"2"
"265446";"BundesLiga";"2023-12-03";"Leverkusen";"Dortmund";"1";"1";"2";"D";"0";"1";"A";"16";"1";"17";"3";"2";"0";"0";"1";"5"
"265447";"BundesLiga";"2023-12-03";"Augsburg";"Ein Frankfurt";"2";"1";"3";"H";"1";"0";"H";"2";"4";"6";"1";"1";"0";"0";"1";"2"
"265448";"Premier League";"2023-12-03";"Bournemouth";"Aston Villa";"2";"2";"4";"D";"1";"1";"D";"7";"7";"14";"5";"3";"0";"0";"2";"8"
"265449";"Premier League";"2023-12-03";"Chelsea";"Brighton";"3";"2";"5";"H";"2";"1";"H";"5";"8";"13";"3";"5";"1";"0";"3";"9"
"265450";"Premier League";"2023-12-03";"Liverpool";"Fulham";"4";"3";"7";"H";"2";"2";"D";"3";"4";"7";"0";"0";"0";"0";"4";"0"
"265451";"Premier League";"2023-12-03";"West Ham";"Crystal Palace";"1";"1";"2";"D";"1";"0";"H";"2";"3";"5";"2";"0";"0";"0";"1";"2"
"265452";"Premier League";"2023-12-03";"Man City";"Tottenham";"3";"3";"6";"D";"2";"1";"H";"10";"8";"18";"4";"4";"0";"0";"3";"8"
"265453";"Ligue 1";"2023-12-03";"Le Havre";"Paris SG";"0";"2";"2";"A";"0";"1";"A";"9";"2";"11";"2";"1";"0";"1";"1";"4"
"265454";"Ligue 1";"2023-12-03";"Brest";"Clermont";"3";"0";"3";"H";"2";"0";"H";"4";"2";"6";"1";"2";"0";"0";"2";"3"
"265455";"Ligue 1";"2023-12-03";"Monaco";"Montpellier";"2";"0";"2";"H";"1";"0";"H";"8";"2";"10";"2";"3";"0";"1";"1";"6"
"265456";"Ligue 1";"2023-12-03";"Toulouse";"Lorient";"1";"1";"2";"D";"0";"0";"D";"3";"4";"7";"2";"4";"0";"0";"0";"6"
"265457";"Ligue 1";"2023-12-03";"Lille";"Metz";"2";"0";"2";"H";"2";"0";"H";"6";"1";"7";"0";"0";"0";"0";"2";"0"
"265458";"Ligue 1";"2023-12-03";"Marseille";"Rennes";"2";"0";"2";"H";"1";"0";"H";"1";"6";"7";"1";"3";"1";"1";"1";"6"
"265459";"Serie A";"2023-12-03";"Lecce";"Bologna";"1";"1";"2";"D";"0";"0";"D";"6";"3";"9";"3";"2";"0";"0";"0";"5"
"265460";"Serie A";"2023-12-03";"Fiorentina";"Salernitana";"3";"0";"3";"H";"2";"0";"H";"3";"2";"5";"1";"0";"0";"0";"2";"1"
"265461";"Serie A";"2023-12-03";"Udinese";"Verona";"3";"3";"6";"D";"2";"1";"H";"5";"3";"8";"2";"5";"0";"0";"3";"7"
"265462";"Serie A";"2023-12-03";"Sassuolo";"Roma";"1";"2";"3";"A";"1";"0";"H";"1";"11";"12";"4";"1";"1";"0";"1";"6"
"265463";"Serie A";"2023-12-03";"Napoli";"Inter";"0";"3";"3";"A";"0";"1";"A";"6";"4";"10";"2";"2";"0";"0";"1";"4"
"265464";"Liga Portugal";"2023-12-03";"Sp Braga";"Estoril";"3";"1";"4";"H";"1";"1";"D";"5";"2";"7";"2";"2";"0";"0";"2";"4"
"265465";"Liga Portugal";"2023-12-03";"Moreirense";"Benfica";"0";"0";"0";"D";"0";"0";"D";"2";"7";"9";"4";"1";"0";"0";"0";"5"
"265466";"Liga Portugal";"2023-12-03";"Boavista";"Arouca";"0";"4";"4";"A";"0";"3";"A";"8";"1";"9";"5";"4";"1";"1";"3";"11"
"265467";"LaLiga";"2023-12-03";"Mallorca";"Alaves";"0";"0";"0";"D";"0";"0";"D";"5";"4";"9";"4";"2";"0";"0";"0";"6"
"265468";"LaLiga";"2023-12-03";"Almeria";"Betis";"0";"0";"0";"D";"0";"0";"D";"4";"6";"10";"0";"3";"0";"1";"0";"4"
"265469";"LaLiga";"2023-12-03";"Sevilla";"Villarreal";"1";"1";"2";"D";"0";"0";"D";"8";"4";"12";"3";"2";"0";"0";"0";"5"
"265470";"LaLiga";"2023-12-03";"Barcelona";"Ath Madrid";"1";"0";"1";"H";"1";"0";"H";"7";"2";"9";"5";"4";"0";"0";"1";"9"
"265471";"BundesLiga";"2023-12-02";"Bochum";"Wolfsburg";"3";"1";"4";"H";"2";"1";"H";"6";"6";"12";"6";"2";"0";"0";"3";"8"
"265472";"BundesLiga";"2023-12-02";"M'gladbach";"Hoffenheim";"2";"1";"3";"H";"0";"0";"D";"6";"3";"9";"2";"2";"0";"0";"0";"4"
"265473";"BundesLiga";"2023-12-02";"RB Leipzig";"Heidenheim";"2";"1";"3";"H";"2";"1";"H";"5";"3";"8";"2";"2";"0";"0";"3";"4"
"265474";"BundesLiga";"2023-12-02";"Stuttgart";"Werder Bremen";"2";"0";"2";"H";"1";"0";"H";"6";"7";"13";"1";"0";"0";"0";"1";"1"
"265475";"Premier League";"2023-12-02";"Arsenal";"Wolves";"2";"1";"3";"H";"2";"0";"H";"4";"0";"4";"1";"2";"0";"0";"2";"3"
"265476";"Premier League";"2023-12-02";"Brentford";"Luton";"3";"1";"4";"H";"0";"0";"D";"7";"5";"12";"1";"2";"0";"0";"0";"3"
"265477";"Premier League";"2023-12-02";"Burnley";"Sheffield United";"5";"0";"5";"H";"2";"0";"H";"6";"1";"7";"2";"5";"0";"1";"2";"8"
"265478";"Premier League";"2023-12-02";"Nott'm Forest";"Everton";"0";"1";"1";"A";"0";"0";"D";"4";"3";"7";"1";"0";"0";"0";"0";"1"
"265479";"Premier League";"2023-12-02";"Newcastle";"Man United";"1";"0";"1";"H";"0";"0";"D";"7";"3";"10";"1";"2";"0";"0";"0";"3"
"265480";"Ligue 1";"2023-12-02";"Lens";"Lyon";"3";"2";"5";"H";"1";"1";"D";"3";"6";"9";"2";"0";"1";"0";"2";"3"
"265481";"Ligue 1";"2023-12-02";"Nantes";"Nice";"1";"0";"1";"H";"1";"0";"H";"5";"6";"11";"3";"0";"0";"0";"1";"3"
"265482";"Serie A";"2023-12-02";"Genoa";"Empoli";"1";"1";"2";"D";"1";"0";"H";"5";"3";"8";"3";"1";"0";"0";"1";"4"
"265483";"Serie A";"2023-12-02";"Lazio";"Cagliari";"1";"0";"1";"H";"1";"0";"H";"4";"3";"7";"0";"2";"0";"1";"1";"3"
"265484";"Serie A";"2023-12-02";"Milan";"Frosinone";"3";"1";"4";"H";"1";"0";"H";"6";"7";"13";"1";"1";"0";"0";"1";"2"
"265485";"Liga Portugal";"2023-12-02";"Farense";"Guimaraes";"1";"2";"3";"A";"0";"1";"A";"1";"7";"8";"3";"3";"1";"0";"1";"7"
"265486";"Liga Portugal";"2023-12-02";"Rio Ave";"Estrela";"1";"1";"2";"D";"0";"0";"D";"7";"0";"7";"4";"1";"0";"0";"0";"5"
"265487";"Liga Portugal";"2023-12-02";"Famalicao";"Porto";"0";"3";"3";"A";"0";"2";"A";"7";"2";"9";"4";"5";"1";"0";"2";"10"
"265488";"Liga Portugal";"2023-12-02";"Casa Pia";"Portimonense";"1";"0";"1";"H";"0";"0";"D";"5";"5";"10";"3";"3";"0";"1";"0";"7"
"265489";"LaLiga";"2023-12-02";"Girona";"Valencia";"2";"1";"3";"H";"0";"0";"D";"3";"2";"5";"2";"3";"0";"0";"0";"5"
"265490";"LaLiga";"2023-12-02";"Ath Bilbao";"Vallecano";"4";"0";"4";"H";"1";"0";"H";"7";"2";"9";"1";"2";"0";"0";"1";"3"
"265491";"LaLiga";"2023-12-02";"Real Madrid";"Granada";"2";"0";"2";"H";"1";"0";"H";"6";"0";"6";"2";"1";"0";"0";"1";"3"
"265492";"LaLiga";"2023-12-02";"Osasuna";"Sociedad";"1";"1";"2";"D";"1";"1";"D";"1";"8";"9";"3";"3";"0";"0";"2";"6"
"265493";"BundesLiga";"2023-12-01";"Darmstadt";"FC Koln";"0";"1";"1";"A";"0";"0";"D";"1";"6";"7";"1";"3";"0";"0";"0";"4"
"265494";"Ligue 1";"2023-12-01";"Reims";"Strasbourg";"2";"1";"3";"H";"2";"0";"H";"4";"5";"9";"1";"1";"0";"0";"2";"2"
"265495";"Serie A";"2023-12-01";"Monza";"Juventus";"1";"2";"3";"A";"0";"1";"A";"7";"3";"10";"1";"2";"0";"0";"1";"3"
"265496";"Liga Portugal";"2023-12-01";"Chaves";"Vizela";"2";"1";"3";"H";"1";"1";"D";"2";"1";"3";"5";"3";"0";"0";"2";"8"
"265497";"LaLiga";"2023-12-01";"Las Palmas";"Getafe";"2";"0";"2";"H";"1";"0";"H";"4";"4";"8";"0";"5";"0";"1";"1";"6"
"265498";"Ligue 1";"2023-11-29";"Montpellier";"Clermont";"1";"1";"2";"D";"0";"1";"A";"8";"0";"8";"3";"4";"0";"0";"1";"7"
"265499";"LaLiga";"2023-11-29";"Mallorca";"Cadiz";"1";"1";"2";"D";"1";"1";"D";"7";"0";"7";"2";"3";"0";"0";"2";"5"
"265500";"Premier League";"2023-11-27";"Fulham";"Wolves";"3";"2";"5";"H";"1";"1";"D";"6";"2";"8";"2";"2";"0";"0";"2";"4"
"265501";"Serie A";"2023-11-27";"Verona";"Lecce";"2";"2";"4";"D";"1";"1";"D";"4";"2";"6";"1";"2";"0";"0";"2";"3"
"265502";"Serie A";"2023-11-27";"Bologna";"Torino";"2";"0";"2";"H";"0";"0";"D";"3";"2";"5";"3";"4";"0";"0";"0";"7"
"265503";"LaLiga";"2023-11-27";"Girona";"Ath Bilbao";"1";"1";"2";"D";"0";"0";"D";"2";"6";"8";"1";"1";"0";"0";"0";"2"
"265504";"BundesLiga";"2023-11-26";"Heidenheim";"Bochum";"0";"0";"0";"D";"0";"0";"D";"6";"5";"11";"4";"3";"0";"0";"0";"7"
"265505";"BundesLiga";"2023-11-26";"Hoffenheim";"Mainz";"1";"1";"2";"D";"0";"1";"A";"4";"5";"9";"4";"4";"0";"0";"1";"8"
"265506";"Premier League";"2023-11-26";"Tottenham";"Aston Villa";"1";"2";"3";"A";"1";"1";"D";"9";"3";"12";"0";"4";"0";"0";"2";"4"
"265507";"Premier League";"2023-11-26";"Everton";"Man United";"0";"3";"3";"A";"0";"1";"A";"6";"5";"11";"3";"0";"0";"0";"1";"3"
"265508";"Ligue 1";"2023-11-26";"Nice";"Toulouse";"1";"0";"1";"H";"0";"0";"D";"4";"2";"6";"0";"4";"0";"0";"0";"4"
"265509";"Ligue 1";"2023-11-26";"Lorient";"Metz";"2";"3";"5";"A";"2";"1";"H";"5";"6";"11";"2";"1";"0";"0";"3";"3"
"265510";"Ligue 1";"2023-11-26";"Montpellier";"Brest";"1";"3";"4";"A";"0";"1";"A";"9";"1";"10";"2";"2";"0";"0";"1";"4"
"265511";"Ligue 1";"2023-11-26";"Nantes";"Le Havre";"0";"0";"0";"D";"0";"0";"D";"10";"5";"15";"1";"2";"0";"1";"0";"4"
"265512";"Ligue 1";"2023-11-26";"Rennes";"Reims";"3";"1";"4";"H";"1";"1";"D";"1";"8";"9";"2";"2";"0";"0";"2";"4"
"265513";"Ligue 1";"2023-11-26";"Lyon";"Lille";"0";"2";"2";"A";"0";"2";"A";"3";"5";"8";"2";"2";"0";"0";"2";"4"
"265514";"Serie A";"2023-11-26";"Cagliari";"Monza";"1";"1";"2";"D";"1";"0";"H";"10";"11";"21";"1";"2";"0";"0";"1";"3"
"265515";"Serie A";"2023-11-26";"Empoli";"Sassuolo";"3";"4";"7";"A";"2";"2";"D";"6";"5";"11";"4";"2";"0";"0";"4";"6"
"265516";"Serie A";"2023-11-26";"Frosinone";"Genoa";"2";"1";"3";"H";"1";"1";"D";"4";"2";"6";"2";"4";"0";"0";"2";"6"
"265517";"Serie A";"2023-11-26";"Roma";"Udinese";"3";"1";"4";"H";"1";"0";"H";"7";"1";"8";"1";"3";"0";"0";"1";"4"
"265518";"Serie A";"2023-11-26";"Juventus";"Inter";"1";"1";"2";"D";"1";"1";"D";"1";"0";"1";"2";"1";"0";"0";"2";"3"
"265519";"LaLiga";"2023-11-26";"Villarreal";"Osasuna";"3";"1";"4";"H";"0";"0";"D";"2";"4";"6";"0";"0";"0";"0";"0";"0"
"265520";"LaLiga";"2023-11-26";"Sociedad";"Sevilla";"2";"1";"3";"H";"2";"0";"H";"4";"4";"8";"2";"1";"0";"2";"2";"5"
"265521";"LaLiga";"2023-11-26";"Cadiz";"Real Madrid";"0";"3";"3";"A";"0";"1";"A";"4";"4";"8";"3";"3";"0";"0";"1";"6"
"265522";"LaLiga";"2023-11-26";"Betis";"Las Palmas";"1";"0";"1";"H";"1";"0";"H";"7";"6";"13";"1";"2";"0";"0";"1";"3"
"265523";"BundesLiga";"2023-11-25";"Dortmund";"M'gladbach";"4";"2";"6";"H";"3";"2";"H";"5";"4";"9";"1";"2";"0";"0";"5";"3"
"265524";"BundesLiga";"2023-11-25";"Freiburg";"Darmstadt";"1";"1";"2";"D";"1";"1";"D";"11";"2";"13";"2";"0";"0";"0";"2";"2"
"265525";"BundesLiga";"2023-11-25";"Union Berlin";"Augsburg";"1";"1";"2";"D";"0";"1";"A";"3";"4";"7";"2";"2";"0";"0";"1";"4"
"265526";"BundesLiga";"2023-11-25";"Werder Bremen";"Leverkusen";"0";"3";"3";"A";"0";"2";"A";"1";"6";"7";"3";"1";"0";"0";"2";"4"
"265527";"BundesLiga";"2023-11-25";"Wolfsburg";"RB Leipzig";"2";"1";"3";"H";"1";"0";"H";"1";"12";"13";"4";"2";"0";"0";"1";"6"
"265528";"BundesLiga";"2023-11-25";"Ein Frankfurt";"Stuttgart";"1";"2";"3";"A";"1";"2";"A";"4";"2";"6";"0";"1";"0";"0";"3";"1"
"265529";"Premier League";"2023-11-25";"Man City";"Liverpool";"1";"1";"2";"D";"1";"0";"H";"9";"6";"15";"1";"3";"0";"0";"1";"4"
"265530";"Premier League";"2023-11-25";"Burnley";"West Ham";"1";"2";"3";"A";"0";"0";"D";"4";"5";"9";"1";"3";"0";"0";"0";"4"
"265531";"Premier League";"2023-11-25";"Luton";"Crystal Palace";"2";"1";"3";"H";"0";"0";"D";"4";"5";"9";"6";"1";"0";"0";"0";"7"
"265532";"Premier League";"2023-11-25";"Newcastle";"Chelsea";"4";"1";"5";"H";"1";"1";"D";"4";"2";"6";"4";"4";"0";"1";"2";"9"
"265533";"Premier League";"2023-11-25";"Nott'm Forest";"Brighton";"2";"3";"5";"A";"1";"2";"A";"6";"4";"10";"2";"4";"0";"1";"3";"7"
"265534";"Premier League";"2023-11-25";"Sheffield United";"Bournemouth";"1";"3";"4";"A";"0";"2";"A";"4";"7";"11";"4";"1";"0";"0";"2";"5"
"265535";"Premier League";"2023-11-25";"Brentford";"Arsenal";"0";"1";"1";"A";"0";"0";"D";"1";"8";"9";"1";"1";"0";"0";"0";"2"
"265536";"Ligue 1";"2023-11-25";"Clermont";"Lens";"0";"3";"3";"A";"0";"1";"A";"2";"4";"6";"2";"3";"1";"1";"1";"7"
"265537";"Ligue 1";"2023-11-25";"Strasbourg";"Marseille";"1";"1";"2";"D";"1";"1";"D";"7";"11";"18";"1";"2";"0";"0";"2";"3"
"265538";"Serie A";"2023-11-25";"Salernitana";"Lazio";"2";"1";"3";"H";"0";"1";"A";"4";"9";"13";"5";"3";"0";"0";"1";"8"
"265539";"Serie A";"2023-11-25";"Atalanta";"Napoli";"1";"2";"3";"A";"0";"1";"A";"5";"4";"9";"2";"2";"0";"0";"1";"4"
"265540";"Serie A";"2023-11-25";"Milan";"Fiorentina";"1";"0";"1";"H";"1";"0";"H";"3";"11";"14";"1";"2";"0";"0";"1";"3"
"265541";"LaLiga";"2023-11-25";"Vallecano";"Barcelona";"1";"1";"2";"D";"1";"0";"H";"1";"4";"5";"3";"4";"0";"0";"1";"7"
"265542";"LaLiga";"2023-11-25";"Valencia";"Celta";"0";"0";"0";"D";"0";"0";"D";"5";"7";"12";"3";"2";"0";"0";"0";"5"
"265543";"LaLiga";"2023-11-25";"Getafe";"Almeria";"2";"1";"3";"H";"2";"1";"H";"3";"6";"9";"2";"4";"0";"0";"3";"6"
"265544";"LaLiga";"2023-11-25";"Ath Madrid";"Mallorca";"1";"0";"1";"H";"0";"0";"D";"7";"3";"10";"0";"0";"0";"0";"0";"0"
"265545";"BundesLiga";"2023-11-24";"FC Koln";"Bayern Munich";"0";"1";"1";"A";"0";"1";"A";"3";"12";"15";"0";"1";"0";"0";"1";"1"
"265546";"Ligue 1";"2023-11-24";"Paris SG";"Monaco";"5";"2";"7";"H";"2";"1";"H";"2";"10";"12";"0";"1";"0";"0";"3";"1"
"265547";"LaLiga";"2023-11-24";"Alaves";"Granada";"3";"1";"4";"H";"2";"0";"H";"6";"2";"8";"1";"3";"0";"0";"2";"4"
"265548";"BundesLiga";"2023-11-12";"Leverkusen";"Union Berlin";"4";"0";"4";"H";"1";"0";"H";"10";"1";"11";"0";"1";"0";"0";"1";"1"
"265549";"BundesLiga";"2023-11-12";"Werder Bremen";"Ein Frankfurt";"2";"2";"4";"D";"1";"0";"H";"3";"7";"10";"1";"3";"0";"0";"1";"4"
"265550";"BundesLiga";"2023-11-12";"RB Leipzig";"Freiburg";"3";"1";"4";"H";"1";"1";"D";"7";"3";"10";"2";"0";"0";"0";"2";"2"
"265551";"Premier League";"2023-11-12";"Aston Villa";"Fulham";"3";"1";"4";"H";"2";"0";"H";"2";"2";"4";"2";"5";"0";"0";"2";"7"
"265552";"Premier League";"2023-11-12";"Brighton";"Sheffield United";"1";"1";"2";"D";"1";"0";"H";"6";"3";"9";"3";"2";"1";"0";"1";"6"
"265553";"Premier League";"2023-11-12";"Liverpool";"Brentford";"3";"0";"3";"H";"1";"0";"H";"6";"8";"14";"1";"2";"0";"0";"1";"3"
"265554";"Premier League";"2023-11-12";"West Ham";"Nott'm Forest";"3";"2";"5";"H";"1";"1";"D";"9";"4";"13";"2";"2";"0";"0";"2";"4"
"265555";"Premier League";"2023-11-12";"Chelsea";"Man City";"4";"4";"8";"D";"2";"2";"D";"3";"3";"6";"5";"3";"0";"0";"4";"8"
"265556";"Ligue 1";"2023-11-12";"Clermont";"Lorient";"1";"0";"1";"H";"0";"0";"D";"5";"4";"9";"3";"2";"0";"0";"0";"5"
"265557";"Ligue 1";"2023-11-12";"Lille";"Toulouse";"1";"1";"2";"D";"1";"0";"H";"11";"1";"12";"3";"4";"0";"0";"1";"7"
"265558";"Ligue 1";"2023-11-12";"Metz";"Nantes";"3";"1";"4";"H";"2";"1";"H";"2";"5";"7";"0";"0";"0";"0";"3";"0"
"265559";"Ligue 1";"2023-11-12";"Rennes";"Lyon";"0";"1";"1";"A";"0";"0";"D";"6";"9";"15";"3";"1";"1";"0";"0";"5"
"265560";"Ligue 1";"2023-11-12";"Lens";"Marseille";"1";"0";"1";"H";"0";"0";"D";"4";"5";"9";"2";"2";"0";"0";"0";"4"
"265561";"Serie A";"2023-11-12";"Napoli";"Empoli";"0";"1";"1";"A";"0";"0";"D";"8";"3";"11";"1";"1";"0";"0";"0";"2"
"265562";"Serie A";"2023-11-12";"Fiorentina";"Bologna";"2";"1";"3";"H";"1";"1";"D";"0";"3";"3";"2";"2";"0";"0";"2";"4"
"265563";"Serie A";"2023-11-12";"Udinese";"Atalanta";"1";"1";"2";"D";"1";"0";"H";"7";"7";"14";"2";"3";"0";"0";"1";"5"
"265564";"Serie A";"2023-11-12";"Lazio";"Roma";"0";"0";"0";"D";"0";"0";"D";"4";"1";"5";"3";"4";"0";"0";"0";"7"
"265565";"Serie A";"2023-11-12";"Inter";"Frosinone";"2";"0";"2";"H";"1";"0";"H";"9";"4";"13";"0";"1";"0";"0";"1";"1"
"265566";"Liga Portugal";"2023-11-12";"Boavista";"Farense";"1";"3";"4";"A";"0";"1";"A";"9";"2";"11";"3";"1";"0";"0";"1";"4"
"265567";"Liga Portugal";"2023-11-12";"Gil Vicente";"Rio Ave";"1";"1";"2";"D";"0";"0";"D";"4";"7";"11";"1";"1";"0";"0";"0";"2"
"265568";"Liga Portugal";"2023-11-12";"Arouca";"Sp Braga";"0";"1";"1";"A";"0";"1";"A";"3";"8";"11";"2";"4";"0";"0";"1";"6"
"265569";"Liga Portugal";"2023-11-12";"Benfica";"Sp Lisbon";"2";"1";"3";"H";"0";"1";"A";"6";"4";"10";"2";"5";"0";"1";"1";"8"
"265570";"LaLiga";"2023-11-12";"Barcelona";"Alaves";"2";"1";"3";"H";"0";"1";"A";"2";"1";"3";"2";"1";"0";"0";"1";"3"
"265571";"LaLiga";"2023-11-12";"Sevilla";"Betis";"1";"1";"2";"D";"0";"0";"D";"9";"5";"14";"1";"1";"0";"0";"0";"2"
"265572";"LaLiga";"2023-11-12";"Ath Madrid";"Villarreal";"3";"1";"4";"H";"1";"1";"D";"6";"3";"9";"0";"2";"0";"0";"2";"2"
"265573";"BundesLiga";"2023-11-11";"Augsburg";"Hoffenheim";"1";"1";"2";"D";"0";"1";"A";"3";"5";"8";"1";"2";"0";"0";"1";"3"
"265574";"BundesLiga";"2023-11-11";"Bayern Munich";"Heidenheim";"4";"2";"6";"H";"2";"0";"H";"7";"2";"9";"1";"0";"0";"0";"2";"1"
"265575";"BundesLiga";"2023-11-11";"Darmstadt";"Mainz";"0";"0";"0";"D";"0";"0";"D";"0";"5";"5";"3";"3";"0";"0";"0";"6"
"265576";"BundesLiga";"2023-11-11";"Stuttgart";"Dortmund";"2";"1";"3";"H";"1";"1";"D";"6";"1";"7";"2";"3";"0";"0";"2";"5"
"265577";"BundesLiga";"2023-11-11";"Bochum";"FC Koln";"1";"1";"2";"D";"1";"0";"H";"3";"3";"6";"4";"1";"0";"0";"1";"5"
"265578";"Premier League";"2023-11-11";"Wolves";"Tottenham";"2";"1";"3";"H";"0";"1";"A";"11";"3";"14";"4";"3";"0";"0";"1";"7"
"265579";"Premier League";"2023-11-11";"Arsenal";"Burnley";"3";"1";"4";"H";"1";"0";"H";"3";"3";"6";"0";"1";"1";"0";"1";"2"
"265580";"Premier League";"2023-11-11";"Crystal Palace";"Everton";"2";"3";"5";"A";"1";"1";"D";"9";"2";"11";"1";"4";"0";"0";"2";"5"
"265581";"Premier League";"2023-11-11";"Man United";"Luton";"1";"0";"1";"H";"0";"0";"D";"11";"3";"14";"0";"2";"0";"0";"0";"2"
"265582";"Premier League";"2023-11-11";"Bournemouth";"Newcastle";"2";"0";"2";"H";"0";"0";"D";"6";"5";"11";"2";"1";"0";"0";"0";"3"
"265583";"Ligue 1";"2023-11-11";"Reims";"Paris SG";"0";"3";"3";"A";"0";"1";"A";"8";"4";"12";"1";"0";"0";"0";"1";"1"
"265584";"Ligue 1";"2023-11-11";"Le Havre";"Monaco";"0";"0";"0";"D";"0";"0";"D";"2";"4";"6";"2";"3";"0";"0";"0";"5"
"265585";"Serie A";"2023-11-11";"Lecce";"Milan";"2";"2";"4";"D";"0";"2";"A";"3";"1";"4";"4";"6";"0";"1";"2";"11"
"265586";"Serie A";"2023-11-11";"Juventus";"Cagliari";"2";"1";"3";"H";"0";"0";"D";"12";"4";"16";"3";"1";"0";"0";"0";"4"
"265587";"Serie A";"2023-11-11";"Monza";"Torino";"1";"1";"2";"D";"0";"0";"D";"3";"1";"4";"2";"2";"0";"0";"0";"4"
"265588";"Liga Portugal";"2023-11-11";"Portimonense";"Chaves";"2";"1";"3";"H";"2";"0";"H";"3";"8";"11";"4";"2";"0";"0";"2";"6"
"265589";"Liga Portugal";"2023-11-11";"Estrela";"Moreirense";"0";"1";"1";"A";"0";"0";"D";"2";"5";"7";"3";"6";"0";"1";"0";"10"
"265590";"Liga Portugal";"2023-11-11";"Vizela";"Famalicao";"0";"0";"0";"D";"0";"0";"D";"5";"7";"12";"1";"3";"0";"0";"0";"4"
"265591";"Liga Portugal";"2023-11-11";"Guimaraes";"Porto";"1";"2";"3";"A";"1";"1";"D";"10";"6";"16";"3";"3";"0";"0";"2";"6"
"265592";"LaLiga";"2023-11-11";"Vallecano";"Girona";"1";"2";"3";"A";"1";"1";"D";"8";"3";"11";"1";"2";"0";"0";"2";"3"
"265593";"LaLiga";"2023-11-11";"Almeria";"Sociedad";"1";"3";"4";"A";"0";"0";"D";"5";"5";"10";"2";"2";"0";"0";"0";"4"
"265594";"LaLiga";"2023-11-11";"Granada";"Getafe";"1";"1";"2";"D";"1";"1";"D";"3";"5";"8";"4";"2";"0";"0";"2";"6"
"265595";"LaLiga";"2023-11-11";"Osasuna";"Las Palmas";"1";"1";"2";"D";"0";"0";"D";"8";"3";"11";"1";"1";"0";"0";"0";"2"
"265596";"LaLiga";"2023-11-11";"Real Madrid";"Valencia";"5";"1";"6";"H";"2";"0";"H";"4";"4";"8";"1";"3";"0";"0";"2";"4"
"265597";"BundesLiga";"2023-11-10";"M'gladbach";"Wolfsburg";"4";"0";"4";"H";"2";"0";"H";"8";"5";"13";"1";"3";"0";"0";"2";"4"
"265598";"Ligue 1";"2023-11-10";"Montpellier";"Nice";"0";"0";"0";"D";"0";"0";"D";"3";"7";"10";"0";"4";"0";"0";"0";"4"
"265599";"Serie A";"2023-11-10";"Sassuolo";"Salernitana";"2";"2";"4";"D";"1";"2";"A";"11";"0";"11";"2";"1";"0";"0";"3";"3"
"265600";"Serie A";"2023-11-10";"Genoa";"Verona";"1";"0";"1";"H";"1";"0";"H";"6";"7";"13";"1";"4";"0";"0";"1";"5"
"265601";"Liga Portugal";"2023-11-10";"Estoril";"Casa Pia";"4";"0";"4";"H";"2";"0";"H";"4";"7";"11";"3";"4";"0";"0";"2";"7"
"265602";"LaLiga";"2023-11-10";"Ath Bilbao";"Celta";"4";"3";"7";"H";"2";"2";"D";"7";"2";"9";"2";"2";"0";"0";"4";"4"
"265603";"Premier League";"2023-11-06";"Tottenham";"Chelsea";"1";"4";"5";"A";"1";"1";"D";"1";"6";"7";"1";"5";"2";"0";"2";"8"
"265604";"Serie A";"2023-11-06";"Frosinone";"Empoli";"2";"1";"3";"H";"0";"0";"D";"9";"2";"11";"3";"2";"0";"0";"0";"5"
